id,team_id,programming_language,traction_wheels,pneumatic_wheels,omni_wheels,mecanum_wheels,other_wheels,swerve_x_wcp,swerve_sds,swerve_rev,swerve_custom,tank_drive,arcade_drive,other_drive,robot_inspection_weight_lbs,floor_pickup,source_direct,fit_under_stage,communication_barrier,notes,timestamp
2,2534,Java,0,0,0,0,0,0,0,1,0,0,0,0,110,1,1,1,0,"Source but drop directly in","2024-03-23 23:55:55"
3,2998,Java,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"No climb","2024-03-02 13:55:11"
4,3136,Other,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,"shoot intake
 combo","2024-03-02 13:55:12"
5,3373,Java,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"Does not look like it has trap ability","2024-03-02 13:55:12"
6,4099,Other,1,0,0,0,0,0,0,0,0,0,0,1,122,1,0,0,0,,"2024-03-23 12:57:06"
7,4286,Java,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"Very tall","2024-03-02 13:55:12"
8,4505,Java,1,0,0,0,0,1,0,0,0,0,0,0,95,1,1,0,0,"Tall can't fit under stage","2024-03-23 12:54:10"
9,5587,Java,1,0,0,0,0,0,0,1,0,0,0,0,90,1,0,1,0,"climb
4 note auto","2024-04-04 12:55:33"
10,5954,Other,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Only from source","2024-03-02 13:55:13"
11,6863,Other,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,"2024-03-02 13:55:14"
12,8362,Other,1,0,0,0,0,1,0,0,0,0,0,0,105,1,0,1,0,,"2024-03-02 13:55:14"
13,8590,Other,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,"No climb","2024-03-02 13:55:14"
14,9709,Other,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"No at","2024-03-02 13:55:14"
15,339,Java,1,0,0,0,0,0,0,0,0,1,0,0,83,0,1,1,0,"Uses pneumatics","2024-04-04 12:54:30"
16,422,Java,1,0,0,0,0,0,1,0,0,0,0,0,108,1,0,1,0,"Intake and shooter separate sides,","2024-04-04 12:54:31"
17,539,Java,1,0,0,0,0,0,1,0,0,0,0,0,106,1,1,1,0,"Really fast, balanced climb","2024-04-04 12:56:21"
18,540,Java,1,0,0,0,0,0,1,0,0,0,0,0,97,1,1,1,0,"Variable angle shooter","2024-03-02 14:05:43"
19,612,Java,1,0,0,0,0,0,1,0,0,0,0,0,98,1,0,0,0,,"2024-03-02 14:05:43"
20,617,Java,0,0,0,1,0,0,0,0,0,1,0,0,50,1,0,1,0,"Can't climb","2024-03-02 14:05:43"
21,620,Java,1,0,0,0,0,0,0,1,0,0,0,0,95,1,0,1,0,"Auto can score amp","2024-04-04 12:52:54"
22,1522,Java,0,0,1,0,0,0,0,1,0,0,0,0,78,1,0,1,0,,"2024-03-02 14:05:43"
23,1599,Java,1,0,0,0,0,0,0,1,0,0,0,0,123,1,0,1,0,"Can possibly score trap, some limelight automation, intake from both sides","2024-03-02 14:05:44"
24,1731,Java,0,0,0,0,1,0,1,0,0,0,0,0,106,1,1,1,0,"In bumper intake,","2024-04-04 12:56:21"
25,1895,Python,1,0,0,0,0,0,0,0,0,1,0,0,93,1,0,1,0,"Slow climber, offensive driver","2024-04-04 12:54:31"
26,2106,Java,1,0,0,0,0,0,1,0,0,0,0,0,124,1,1,1,0,,"2024-04-04 12:54:31"
27,2199,Java,0,0,0,0,1,0,0,0,0,0,0,1,99,1,0,1,0,,"2024-04-04 12:52:56"
28,2421,Other,1,0,0,0,0,0,1,0,0,0,0,0,78,1,0,1,0,"Below bumper intake, survives well, intake and shooter separate sides","2024-03-02 14:05:45"
29,449,Other,1,0,0,0,0,0,1,0,0,0,0,0,110,1,0,1,0,"failure modes","2024-03-23 12:53:56"
30,686,Java,1,0,0,0,0,0,0,0,0,1,0,0,1014,1,0,1,0,,"2024-03-23 12:53:59"
31,1111,Java,1,0,0,0,0,1,0,0,0,0,0,0,826,1,0,1,0,,"2024-03-23 12:54:09"
32,1389,Java,1,0,0,0,0,0,0,1,0,0,0,0,80,1,0,1,0,,"2024-03-23 12:54:09"
33,1727,Java,1,0,0,0,0,0,0,1,0,0,0,0,124,1,1,1,0,,"2024-04-04 12:56:21"
34,2377,Java,1,0,0,0,0,0,0,0,1,0,0,0,121,1,1,1,0,,"2024-03-23 12:54:09"
35,2537,Other,1,0,0,0,0,0,1,0,0,0,0,0,125,1,0,1,0,,"2024-03-23 12:54:10"
36,2914,Java,1,0,0,0,0,0,0,1,0,0,0,0,110,0,1,1,0,,"2024-03-23 12:54:10"
37,4638,Java,1,0,0,0,0,0,0,0,1,0,0,0,105,1,1,1,0,,"2024-03-23 12:54:10"
38,5380,Java,1,0,0,0,0,1,0,0,0,0,0,0,94,1,0,1,0,,"2024-03-23 12:54:11"
39,1719,Other,1,0,0,0,0,0,0,1,0,0,0,0,101,1,0,1,0,"Cimb,trap,2 pics auto,","2024-03-23 12:57:05"
40,6326,Other,1,0,0,0,0,0,0,1,0,0,0,0,1024,1,0,1,0,"Auto :leave and preload climb","2024-04-04 12:55:33"
41,8592,Other,0,0,0,0,1,0,0,1,0,0,0,0,111,1,0,1,0,"2 and 4 pics auto,under bumper,no trap","2024-03-23 12:57:06"
42,8622,Other,1,0,0,0,0,1,0,0,0,0,0,0,92,1,0,1,0,"Under bumper intake,climb,no trap,2 pice auto","2024-03-23 12:57:07"
43,8726,Other,1,0,0,0,0,0,0,1,0,0,0,0,107,1,0,1,0,"2 pics auto","2024-03-23 12:57:07"
44,9072,Other,0,0,0,0,1,0,0,1,0,0,0,0,80,1,0,1,0,"5 pice auto","2024-03-23 12:57:07"
45,614,Java,0,0,0,0,1,0,0,1,0,0,0,0,111,1,0,1,0,"Shoots from podium","2024-04-04 12:54:31"
46,888,Java,1,0,0,0,0,0,0,1,0,0,0,0,114,1,1,1,0,,"2024-04-17 21:06:46"
47,2849,Java,1,0,0,0,0,0,0,1,0,0,0,0,115,0,1,0,0,,"2024-03-23 23:55:55"
48,3748,Java,1,0,0,0,0,1,0,0,0,0,0,0,89,1,0,1,0,,"2024-03-23 23:55:55"
49,4464,Python,0,0,0,1,0,0,0,0,0,1,0,0,80,1,0,1,0,,"2024-03-23 23:55:55"
50,4541,Java,0,0,0,0,1,0,0,1,0,0,0,0,113,1,1,1,0,,"2024-03-23 23:55:55"
51,5115,Java,1,0,0,0,0,0,0,1,0,0,0,0,99,1,0,1,0,"fast climb","2024-03-23 23:55:56"
52,623,C++,1,0,0,0,0,0,0,1,0,0,0,0,101,1,0,1,0,,"2024-04-04 12:52:55"
53,1629,Java,1,0,0,0,0,0,0,1,0,0,0,0,101,1,0,1,0,,"2024-04-17 21:06:46"
54,1908,Java,1,0,0,0,0,0,1,0,0,0,0,0,89,1,0,1,0,,"2024-04-04 12:56:22"
55,2363,Java,1,0,0,0,0,0,1,0,0,0,0,0,105,1,0,1,0,,"2024-04-04 12:56:22"
56,4895,Other,0,0,0,0,1,0,0,0,0,1,0,0,92,1,0,1,0,,"2024-04-04 12:52:56"
57,401,Java,1,0,0,0,0,0,0,0,1,0,0,0,123,1,1,1,0,,"2024-04-04 12:54:30"
58,977,Java,1,0,0,0,0,0,1,0,0,0,0,0,124,1,0,1,0,,"2024-04-04 12:54:31"
59,2186,Java,1,0,0,0,0,1,0,0,0,0,0,0,118,1,0,1,0,,"2024-04-04 12:54:32"
60,5338,Other,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,"Climb at no trap","2024-04-04 12:55:32"
61,5549,Java,1,0,0,0,0,1,0,0,0,0,0,0,119,1,0,1,0,"Climb no trap","2024-04-04 12:55:33"
62,5804,Java,1,0,0,0,0,0,1,0,0,0,0,0,110,1,0,1,0,,"2024-04-17 21:07:26"
63,6802,Other,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,"Over bump","2024-04-04 12:55:33"
64,8326,Java,1,0,0,0,0,1,0,0,0,0,0,0,91,1,0,1,0,"4 note vision based","2024-04-04 12:55:33"
65,9003,Java,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"Climb
no trap","2024-04-04 12:55:34"
66,9403,Java,1,0,0,0,0,0,0,1,0,0,0,0,70,1,0,1,0,,"2024-04-04 12:55:34"
67,10,Java,1,0,0,0,0,0,1,0,0,0,0,0,117,1,1,1,0,,"2024-04-04 12:56:20"
68,122,C++,1,0,0,0,0,0,1,0,0,0,0,0,99,1,0,1,0,,"2024-04-04 12:56:20"
69,404,Java,1,0,0,0,0,0,0,1,0,0,0,0,100,1,0,1,0,,"2024-04-04 12:56:20"
70,619,Java,1,0,0,0,0,0,1,0,0,0,0,0,112,0,1,1,0,,"2024-04-04 12:56:21"
71,1262,Java,1,0,0,0,0,0,1,0,0,0,0,0,122,1,1,1,0,,"2024-04-04 12:56:21"
72,1610,Java,1,0,0,0,0,0,0,1,0,0,0,0,95,1,0,1,0,,"2024-04-04 12:56:21"
73,21999,C++,0,0,1,0,0,0,0,1,0,0,0,0,90,1,0,1,0,,"2024-04-04 12:56:22"
74,58,Java,1,0,0,0,0,0,1,0,0,0,0,0,112,1,1,1,0,,"2024-04-17 21:06:45"
75,59,Java,1,0,0,0,0,0,1,0,0,0,0,0,121,1,1,1,0,,"2024-04-17 21:06:45"
76,85,Java,1,0,0,0,0,0,1,0,0,0,0,0,115,1,0,1,0,,"2024-04-17 21:06:45"
77,111,Java,1,0,0,0,0,0,0,1,0,0,0,0,112,1,0,1,0,,"2024-04-17 21:06:45"
78,254,Java,1,0,0,0,0,0,1,0,0,0,0,0,125,1,1,1,0,,"2024-04-17 21:06:45"
79,294,Java,1,0,0,0,0,0,1,0,0,0,0,0,119,1,0,1,0,,"2024-04-17 21:06:45"
80,316,Java,1,0,0,0,0,0,1,0,0,0,0,0,125,1,1,1,0,,"2024-04-17 21:06:45"
81,359,Java,1,0,0,0,0,0,1,0,0,0,0,0,120,1,0,1,0,,"2024-04-17 21:06:45"
82,369,Java,1,0,0,0,0,0,1,0,0,0,0,0,117,0,1,1,1,"not sure what swerve","2024-04-17 21:06:46"
83,610,Java,1,0,0,0,0,0,1,0,0,0,0,0,98,1,1,1,0,,"2024-04-17 21:06:46"
84,1025,Java,1,0,0,0,0,0,0,1,0,0,0,0,125,1,0,1,0,,"2024-04-17 21:06:46"
85,1156,Java,0,0,0,0,1,0,1,0,0,0,0,0,105,1,0,1,0,"3d print wheels","2024-04-17 21:06:46"
86,1189,Java,1,0,0,0,0,0,0,1,0,0,0,0,110,1,1,1,0,,"2024-04-17 21:06:46"
87,1323,Java,1,0,0,0,0,1,0,0,0,0,0,0,125,1,0,1,0,,"2024-04-17 21:06:46"
88,1778,Other,1,0,0,0,0,0,1,0,0,0,0,0,114,1,1,1,0,"kotlin programming language","2024-04-17 21:06:47"
89,1792,Java,1,0,0,0,0,0,0,1,0,0,0,0,121,1,0,1,0,"not sure what swerve type","2024-04-17 21:06:47"
90,1797,Java,1,0,0,0,0,0,0,1,0,0,0,0,109,1,1,1,0,,"2024-04-17 21:06:47"
91,3339,Java,1,0,0,0,0,0,1,0,1,0,0,0,97,1,1,1,0,,"2024-04-17 21:06:47"
92,3354,Other,1,0,0,0,0,0,1,0,0,0,0,0,110,1,0,1,1,,"2024-04-17 21:06:47"
93,3472,Java,0,0,0,1,0,0,0,0,0,0,1,0,101,1,0,1,1,,"2024-04-17 21:06:47"
94,3478,Java,1,0,0,0,0,0,0,0,1,0,0,0,125,1,1,1,0,"mk4 swerve","2024-04-17 21:06:47"
95,4039,Java,1,0,0,0,0,0,0,1,0,0,0,0,99,1,1,1,0,,"2024-04-17 21:06:47"
96,5024,Java,1,0,0,0,0,0,1,0,0,0,0,0,101,1,0,1,0,,"2024-04-17 21:06:47"
97,6191,Other,1,0,0,0,0,0,0,0,1,0,0,0,91,1,0,1,1,"swerve, not sure what type","2024-04-17 21:06:48"
98,6429,Java,1,0,0,0,0,1,0,0,0,0,0,0,95,1,1,1,1,,"2024-04-17 21:06:48"
99,7565,Other,1,0,0,0,0,0,0,1,0,0,0,0,110,1,1,1,1,,"2024-04-17 21:06:48"
100,7605,C++,1,0,0,0,0,0,1,0,0,0,0,0,121,1,0,1,0,,"2024-04-17 21:06:48"
101,7748,Other,0,1,0,0,0,0,0,0,0,1,0,0,96,1,0,1,1,,"2024-04-17 21:06:48"
102,8780,Other,1,0,0,0,0,0,0,1,0,0,0,0,85,1,1,1,0,,"2024-04-17 21:06:48"
103,9098,Java,1,0,0,0,0,0,0,0,0,1,0,0,94,1,0,1,0,,"2024-04-17 21:06:48"
104,9602,Java,1,0,0,0,0,1,0,0,0,0,0,0,123,1,1,1,1,,"2024-04-17 21:06:48"
105,9609,Other,1,0,0,0,0,0,1,0,0,0,0,0,106,1,1,1,0,,"2024-04-17 21:06:49"
106,27,Java,1,0,0,0,0,0,1,0,0,0,0,0,121,1,0,1,0,,"2024-04-17 21:07:23"
107,1880,Java,1,0,0,0,0,0,1,0,0,0,0,0,91,0,1,1,0,,"2024-04-17 21:07:23"
108,1891,Java,1,0,0,0,0,0,1,0,0,0,0,0,115,1,1,1,0,"Amp speaker and climb","2024-04-17 21:07:23"
109,2341,LabView,1,0,0,0,0,0,0,1,0,0,0,0,86,1,0,1,0,,"2024-04-17 21:07:23"
110,2767,Other,1,0,0,0,0,0,0,0,1,0,0,0,123,1,0,1,0,"Amp and speaker 
trap","2024-04-17 21:07:24"
111,2910,Java,1,0,0,0,0,0,1,0,0,0,0,0,121,1,0,1,0,,"2024-04-17 21:07:24"
112,2974,Java,1,0,0,0,0,0,1,0,0,0,0,0,112,1,0,1,0,,"2024-04-17 21:07:24"
113,3008,Java,1,0,0,0,0,0,0,0,0,1,0,0,70,1,0,1,0,"speaker and climb","2024-04-17 21:07:24"
114,3015,Java,1,0,0,0,0,0,1,0,0,0,0,0,116,1,0,1,0,,"2024-04-17 21:07:24"
115,3196,Java,1,0,0,0,0,0,1,0,0,0,0,0,111,1,0,1,0,"climb Amp speaker","2024-04-17 21:07:24"
116,3414,Java,1,0,0,0,0,0,1,0,0,0,0,0,125,1,0,1,0,"Amp and speaker and climb","2024-04-17 21:07:24"
117,3504,Java,1,0,0,0,0,0,0,1,0,0,0,0,120,1,0,1,0,"Amp and speaker 
no trap","2024-04-17 21:07:24"
118,3506,Java,1,0,0,0,0,1,0,0,0,0,0,0,103,1,0,1,0,,"2024-04-17 21:07:25"
119,3620,Other,1,0,0,0,0,0,0,0,1,0,0,0,121,1,1,1,0,"stryke force swerve 
Amp and speaker 
no trap","2024-04-17 21:07:25"
120,3663,Java,1,0,0,0,0,0,1,0,0,0,0,0,125,1,0,1,0,"Amp and speaker 
no trap","2024-04-17 21:07:25"
121,3937,Java,0,0,0,0,0,0,1,0,0,0,0,0,124,1,0,1,0,,"2024-04-17 21:07:25"
122,4130,Java,1,0,0,0,0,0,1,0,0,0,0,0,106,1,0,1,0,,"2024-04-17 21:07:25"
123,4329,Java,1,0,0,0,0,0,1,0,0,0,0,0,120,1,1,1,0,,"2024-04-17 21:07:25"
124,4607,Java,1,0,0,0,0,0,1,0,0,0,0,0,125,1,1,1,0,,"2024-04-17 21:07:25"
125,5472,Java,1,0,0,0,0,1,0,0,0,0,0,0,117,1,1,1,0,"Amp and speaker","2024-04-17 21:07:25"
126,5614,Java,1,0,0,0,0,0,1,0,0,0,0,0,120,1,1,1,0,"speaker and climb","2024-04-17 21:07:25"
127,5985,Java,1,0,0,0,0,0,1,0,0,0,0,0,118,1,0,1,0,"Amp and speaker","2024-04-17 21:07:26"
128,5993,Java,1,0,0,0,0,0,0,1,0,0,0,0,89,1,0,1,0,"Amp speaker and climb","2024-04-17 21:07:26"
129,6366,Java,1,0,0,0,0,1,0,0,0,0,0,0,115,1,0,1,0,,"2024-04-17 21:07:26"
130,6443,Java,1,0,0,0,0,0,1,0,0,0,0,0,120,1,0,1,0,"speaker Amp and climb","2024-04-17 21:07:26"
131,6919,Java,1,0,0,0,0,0,1,0,0,0,0,0,115,1,0,1,0,"Amp and speaker","2024-04-17 21:07:26"
132,7111,Java,1,0,0,0,0,0,1,0,0,0,0,0,95,1,1,1,0,"working on amp
score in speaker","2024-04-17 21:07:26"
133,8048,Java,1,0,0,0,0,0,1,0,0,0,0,0,85,1,0,1,0,,"2024-04-17 21:07:26"
134,8393,Java,1,0,0,0,0,0,1,0,0,0,0,0,120,1,1,1,0,"no trap","2024-04-17 21:07:26"
135,9401,Java,1,0,0,0,0,0,0,1,0,0,0,0,115,1,0,1,0,"only do harmony with robots that have tall climb hooks","2024-04-17 21:07:27"
136,9475,Java,1,0,0,0,0,0,0,0,0,1,0,0,100,1,0,0,0,"does not fit under stage","2024-04-17 21:07:27"
137,9477,Java,1,0,0,0,0,0,0,0,0,1,0,0,115,1,0,0,0,"can't fit under stage","2024-04-17 21:07:27"
138,9495,Java,0,0,0,0,0,0,0,0,1,0,0,0,111,1,0,1,0,"speaker Amp climb no trap
swerve unknown","2024-04-17 21:07:27"
139,99999,Other,0,0,0,0,0,0,0,0,1,0,0,0,99,1,0,0,1,testing,"2024-04-17 21:07:27"
140,4392,Java,1,0,0,0,0,0,0,0,1,0,0,0,117,1,1,1,0,"Amp speaker and climb","2024-04-17 21:29:02"
141,6014,Java,1,0,0,0,0,0,1,0,0,0,0,0,100,1,1,1,0,"speaker Amp And climb","2024-04-17 21:31:17"
142,9613,Java,1,0,0,0,0,0,0,0,0,1,0,0,85,0,1,0,0,"speaker and climb","2024-04-17 21:32:52"
143,4779,Java,1,0,0,0,0,0,1,0,0,0,0,0,112,1,0,1,0,"speaker Amp and climb","2024-04-17 21:52:10"
