Timestamp	Team Number	Weight	Height	Build Quality?	DriveType
2/28/2024 23:15:27	78	100	100	3	Swerve Drive
2/28/2024 23:15:43	131	101	101	4	Tank Drive
2/28/2024 23:16:16	3467	103	103	3	Swerve Drive
2/28/2024 23:16:51	166	104	104	4	Tank Drive
2/29/2024 0:51:41	2423	1	1	1	Swerve Drive
2/29/2024 0:51:51	4909	2	2	2	Tank Drive
2/29/2024 9:53:32	4027	117.5	39	4	Swerve Drive
2/29/2024 9:54:27	4050		28	4	Tank Drive
2/29/2024 9:55:20	4121	110	24.5	5	Swerve Drive
2/29/2024 9:57:53	4150	115	47	4	Swerve Drive
2/29/2024 10:00:20	4611	102	26	5	Swerve Drive
2/29/2024 10:01:14	4991	80	24	4	Swerve Drive
2/29/2024 10:02:33	5413	91	25	4	Swerve Drive
2/29/2024 10:04:11	5740	125	27	5	Swerve Drive
2/29/2024 10:06:39	6834	103	27	4	Swerve Drive
2/29/2024 10:07:08	3954	198	48	4	Tank Drive
2/29/2024 10:08:18	3492	92	47.5	5	Tank Drive
2/29/2024 10:08:44	7274			2	Tank Drive
2/29/2024 10:09:14	3484		36	4	Swerve Drive
2/29/2024 10:09:41	7515	85.5	27	4	Swerve Drive
2/29/2024 10:10:04	3201	118	26		Swerve Drive
2/29/2024 10:10:24	8096	120		4	Swerve Drive
2/29/2024 10:11:05	3260	104	43	4	Swerve Drive
2/29/2024 10:11:42	8393	103		4	Swerve Drive
2/29/2024 10:12:14	3181	112	36	5	Swerve Drive
2/29/2024 10:12:24	8705			2	Tank Drive
2/29/2024 10:13:15	3015	115	28		Swerve Drive
2/29/2024 10:13:31	9004			3	Tank Drive
2/29/2024 10:14:08	9022	119.2	27.25	4	Tank Drive
2/29/2024 10:14:59	9139	98	18	4	Swerve Drive
2/29/2024 10:15:08	2656	81.5	36	5	Tank Drive
2/29/2024 10:15:53	2641	95	24.5		Swerve Drive
2/29/2024 10:16:44	9415		30.5	3	Tank Drive
2/29/2024 10:17:39	2228	116.3	27	4	Swerve Drive
2/29/2024 10:19:14	2252	114	27	5	Swerve Drive
2/29/2024 10:19:55	9475			2	Tank Drive
2/29/2024 10:22:05	2614	95	24		Swerve Drive
2/29/2024 10:22:35	117	115	41	4	Swerve Drive
2/29/2024 10:23:07	2638	114.2	27	4	Swerve Drive
2/29/2024 10:23:46	1708	116	36	4	Swerve Drive
2/29/2024 10:23:46	325	120	20		Swerve Drive
2/29/2024 10:24:28	144	120	27		Swerve Drive
2/29/2024 10:25:09	1787	110	26	5	Swerve Drive
2/29/2024 10:25:47	379	121	27.5		Swerve Drive
2/29/2024 10:25:47	2013	100	30		Swerve Drive
2/29/2024 10:26:19	340	120	43		Swerve Drive
2/29/2024 10:26:25	2053	105	28	5	Swerve Drive
2/29/2024 10:29:47	2172	110	28	4	Swerve Drive
2/29/2024 10:31:41	578	113	28	4	Swerve Drive
2/29/2024 10:32:18	677	60	24	4	Tank Drive
2/29/2024 10:32:56	695	105	28	4	Swerve Drive
2/29/2024 10:34:09	1126	113	28	3	Swerve Drive
2/29/2024 10:35:42	1559	100	28		Swerve Drive
2/29/2024 10:37:09	2399	114	24		Swerve Drive